school_id,abbr,school_canonical,source_major_code,raw_major_name,program_variant,year,method,block_group,mark,mark_scale,mark_normalized_30,mark_corrected,at_floor,mark_source_note,source_row_id,source_file,canonical_major_id,canonical_major_name,canonical_major_id,canonical_major_name
455,EPU,Trường Đại học Điện lực,7480201,Công nghệ thông tin,base,2019,THPT,"A00, A01, D01, D07",16.5,30,16.5,False,False,,81925,data/raw/thpt/455_2019.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7480201,Công nghệ thông tin,base,2022,THPT,A00;A01;D01;D07,24.4,30,24.4,False,False,,124302,data/raw/thpt/455_2022.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7480201,Công nghệ thông tin,base,2023,THPT,A00;A01;D01;D07,23.25,30,23.25,False,False,,133179,data/raw/thpt/455_2023.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7480201,Công nghệ thông tin,base,2024,THPT,A00;A01;D07;D01,23.0,30,23.0,False,False,,151674,data/raw/thpt/455_2024.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7480201,Công nghệ thông tin,base,2025,THPT,A00; A01; D01; D07,21.9,30,21.9,False,False,,166108,data/raw/thpt/455_2025.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7480201,"Công nghệ thông tin (Gồm 4 chuyên ngành: Công nghệ phần mềm; Quản trị và an ninh mạng; Hệ thống thương mại điện tử, Trí tuệ nhân tạo và thị giác máy tính)",base,2020,THPT,"A00, A01, D01, D07",20.0,30,20.0,False,False,,92110,data/raw/thpt/455_2020.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7480201,"Công nghệ thông tin (Gồm 4 chuyên ngành: Công nghệ phần mềm; Quản trị và an ninh mạng; Hệ thống thương mại điện tử, Trí tuệ nhân tạo và thị giác máy tính)",base,2021,THPT,A00;A01;D01;D07,24.25,30,24.25,False,False,,108571,data/raw/thpt/455_2021.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
455,EPU,Trường Đại học Điện lực,7460108,Khoa học dữ liệu,base,2025,THPT,A00; A01; D01; D07,16.5,30,16.5,False,False,,166104,data/raw/thpt/455_2025.json,khoa-hoc-du-lieu,Khoa học dữ liệu,khoa-hoc-du-lieu,Khoa học dữ liệu
455,EPU,Trường Đại học Điện lực,7480106,Kỹ thuật máy tính,base,2025,THPT,A00; A01; D01; D07,20.83,30,20.83,False,False,,166106,data/raw/thpt/455_2025.json,ky-thuat-may-tinh,Kỹ thuật máy tính,ky-thuat-may-tinh,Kỹ thuật máy tính
455,EPU,Trường Đại học Điện lực,7480107,Trí tuệ nhân tạo,base,2025,THPT,A00; A01; D01; D07,20.5,30,20.5,False,False,,166107,data/raw/thpt/455_2025.json,tri-tue-nhan-tao,Trí tuệ nhân tạo,tri-tue-nhan-tao,Trí tuệ nhân tạo
336,HANU,Trường Đại học Hà Nội,7480201,Công nghệ Thông tin (dạy bằng tiếng Anh),english,2025,THPT,A01; D01; X26,26.02,30,26.02,False,False,,196072,data/raw/thpt/336_2025.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
336,HANU,Trường Đại học Hà Nội,7480201,Công nghệ thông tin,english,2019,THPT,"A01, D01",22.15,30,22.15,False,False,,82006,data/raw/thpt/336_2019.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
336,HANU,Trường Đại học Hà Nội,7480201,Công nghệ thông tin (dạy bằng tiếng Anh),english,2020,THPT,"A01, D01",24.65,30,24.65,False,False,,92238,data/raw/thpt/336_2020.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
336,HANU,Trường Đại học Hà Nội,7480201,Công nghệ thông tin (dạy bằng tiếng Anh),english,2021,THPT,A01;D01,26.05,30,26.05,False,False,,108733,data/raw/thpt/336_2021.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
336,HANU,Trường Đại học Hà Nội,7480201,Công nghệ thông tin (dạy bằng tiếng Anh),english,2022,THPT,A01;D01,25.45,30,25.45,False,False,,122386,data/raw/thpt/336_2022.json,cong-nghe-thong-tin,Công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin
