school_id,source_code,abbr,name_canonical
311,QHI,UET,Trường Đại học Công nghệ – ĐHQG Hà Nội
302,BKA,HUST,Đại học Bách khoa Hà Nội
227,BVH,PTIT,Học viện Công nghệ Bưu chính Viễn thông
308,DCN,HaUI,Trường Đại học Công nghiệp Hà Nội
336,NHF,HANU,Trường Đại học Hà Nội
330,GHA,UTC,Trường Đại học Giao thông Vận tải
421,TLA,TLU,Trường Đại học Thủy lợi
375,MDA,HUMG,Trường Đại học Mỏ – Địa chất
455,DDL,EPU,Trường Đại học Điện lực
346,QHT,HUS,Trường Đại học Khoa học Tự nhiên – ĐHQG Hà Nội
