raw_major_name,n_rows,schools,exclusion_reason
Ngành Công nghệ thông tin; Ngành Kỹ thuật phần mềm; Ngành Hệ thống thông tin,1,TLU,"Bundled multi-major cutoff (nhom nganh / multiple nganh); not attributable to a single major -> excluded from per-major table by design, logged."
Nhóm ngành Công nghệ thông tin (Công nghệ thông tin; Công nghệ thông tin Việt - Nhật; Hệ thống thông tin; Kỹ thuật phần mềm),1,TLU,"Bundled multi-major cutoff (nhom nganh / multiple nganh); not attributable to a single major -> excluded from per-major table by design, logged."
