school_id,abbr,year,method_id,method_alias,url,http_status,api_success,n_rows,bytes,sha256,fetched_at_utc
308,HaUI,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=308&method_id=1&year=2021,200,True,39,23778,9b88cd0428221846226979a277f39357571b78a7c2b42af836d7aed874d462f3,2026-07-21T01:17:03+00:00
308,HaUI,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=308&method_id=1&year=2022,200,True,44,26152,9ddcd7de0543c6bc580b1c66311f4cee5da11bc353ae5ae600f87ebc2b905cfc,2026-07-21T01:17:05+00:00
308,HaUI,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=308&method_id=1&year=2023,200,True,50,26129,0d9a0ad5131c08db1bcc28db2c5950efab8d88e4fbaf0b0b8311dcbab80e986d,2026-07-21T01:17:07+00:00
308,HaUI,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=308&method_id=1&year=2024,200,True,52,27272,aca938c7cb93e9ecb755b76599b214e4b7d5d9a8f5e5d5b437418d0b0db40c7d,2026-07-21T01:17:09+00:00
308,HaUI,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=308&method_id=1&year=2025,200,True,62,34193,d15a6016d73572bab605826415186c6611abd1308b1be60e0aacd0e9123a9419,(cached)
336,HANU,2019,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2019,200,True,22,11308,e07dcdcc55cfbbf5625aa6bd8ecfca5975384cea8bb12cc774394b3bbde64049,2026-07-21T01:17:11+00:00
336,HANU,2020,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2020,200,True,25,13113,23862283b3fbd44297f44dfde8c67bac23869237b478d4b36aabdda0e28714cb,2026-07-21T01:17:13+00:00
336,HANU,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2021,200,True,25,13714,c0c5ac26ebf7a99800bd073f4498d80bea09e8dd9fe167f10843f1a42835d236,2026-07-21T01:17:14+00:00
336,HANU,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2022,200,True,25,13630,d9690910e0ffe12794f28b30a76c6512982c58abf2be86e45a0074b3caa68558,2026-07-21T01:17:16+00:00
336,HANU,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2023,200,True,25,13190,bccda1ef838514b6f4c57cc80f8cc05f0b471fe808627cf04df1379d477ccc1f,2026-07-21T01:17:18+00:00
336,HANU,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2024,200,True,26,14961,a19c57b50307dbd28e6d2fed2be2b3dae672fde887f45d5a36809a9d9465d19d,2026-07-21T01:17:20+00:00
336,HANU,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=336&method_id=1&year=2025,200,True,27,15289,aee59ca254ebfdc63ae76f9870aa28cfa5a5b813032e6c90c3e96dc013e50429,(cached)
330,UTC,2019,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2019,200,True,36,22917,48a7c495b2839a7fbc5279e47476592f032482a2688cf47f9683e17bf52dbdd4,2026-07-21T01:17:22+00:00
330,UTC,2020,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2020,200,True,40,25228,d5565ef565609c12eb5b64c56ca8cdbf6a1be091c8b5a0f1f485691c468a7671,2026-07-21T01:17:24+00:00
330,UTC,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2021,200,True,34,20216,fc6c5cc46e06ab5c794ff5e521eb6d3d46efbb329368671be0f22dd1654872c6,2026-07-21T01:17:26+00:00
330,UTC,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2022,200,True,38,22473,e36568ff79560f9b5214b1939b2cac788b526b9ef5e3ce7685c8a4a899ae3f90,2026-07-21T01:17:28+00:00
330,UTC,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2023,200,True,38,20662,0ae2d22c21a10ad392796fc748470d23fbebe49e42a9e3c9ded801c0e7d5ae88,2026-07-21T01:17:30+00:00
330,UTC,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2024,200,True,41,22271,c1ea8a3fb736636253c6afd493163b41ec8cee9cabdba94bc2e1e24b5be36bf6,2026-07-21T01:17:32+00:00
330,UTC,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=330&method_id=1&year=2025,200,True,48,29696,587b58d76d518fc1b88d5ae01ca8302ad8cd38c4858617c72a82aafdebd3e774,(cached)
421,TLU,2019,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2019,200,True,25,14307,d48703f8d132b6c84221ae02adec2efaf36459b5008369554bb9515cdffaf207,2026-07-21T01:17:34+00:00
421,TLU,2020,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2020,200,True,23,12488,f75714311c630415f4e0b36f74b36e6df0dc4d081c9fc654879dfff9cf9b2f53,2026-07-21T01:17:36+00:00
421,TLU,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2021,200,True,31,17154,aab49a83225e703d6d4a37e4209f36b4ae05ed84f54297ceb818c0ba03fd8946,2026-07-21T01:17:38+00:00
421,TLU,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2022,200,True,37,21653,228ee7fffc874eedd9c3f7db7fb35e1f1cb24e4abad3a9e77af43ff66bddbfe5,2026-07-21T01:17:40+00:00
421,TLU,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2023,200,True,39,20503,f002cdbb157fae0e91d98c1330c34d042e1ee25ee14178a03be066dbbf0f95f4,2026-07-21T01:17:42+00:00
421,TLU,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2024,200,True,40,21163,9bfa88139d3c97b4c857a672647c1b8f6fe93ce7a095223cf03ac3c94ab19181,2026-07-21T01:17:44+00:00
421,TLU,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=421&method_id=1&year=2025,200,True,43,23823,71abee946f84ee3a72df51803b6f12aa0bebc89a33732acb34d746d63eb94a21,(cached)
375,HUMG,2019,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2019,200,True,29,14977,e42efe95e4e82a00241c9e4f73b8aa8cd30b56ddc3416b57e1a757a8dd19834e,2026-07-21T01:17:46+00:00
375,HUMG,2020,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2020,200,True,21,11452,9be9ad1eff6ae5604a9ab6f59150b9b502b014a88f5ae48c43abf41c323b1a22,2026-07-21T01:17:48+00:00
375,HUMG,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2021,200,True,30,15705,803da1d0deca8f35953e957983723e107acd362b9ae1e1f7ee92bee1b4e1d2ee,2026-07-21T01:17:50+00:00
375,HUMG,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2022,200,True,42,22157,b0a6442f1b006124af15282bc66053a95cdbebbd309d3d0b873d9e4b810962af,2026-07-21T01:17:52+00:00
375,HUMG,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2023,200,True,41,21710,87bee27669a588ca3c78adae54dd49247f77422d07132838c12fedf049ae863d,2026-07-21T01:17:54+00:00
375,HUMG,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2024,200,True,41,21707,d6dc6ce9d5c849f7eba8b108e6334f58f6110b04666ad61463278efc66d4b538,2026-07-21T01:17:56+00:00
375,HUMG,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=375&method_id=1&year=2025,200,True,47,26454,ae42a3ce97bf59b0cd2a8bcf3bacd0febdd61459403f5f1d8df8de6baa559d91,(cached)
455,EPU,2019,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2019,200,True,26,13769,bf632353815a2b77f5b4d215ff2ca1cb25f76c3a7f3b132029bcbe3d7ab4d28e,2026-07-21T01:17:58+00:00
455,EPU,2020,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2020,200,True,19,12016,4b038db224f87a8e15281a9957de3ec05191390ce8cfe4d9d09312aacb77cafe,2026-07-21T01:18:00+00:00
455,EPU,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2021,200,True,19,12013,d8311071699d47e6e7bc3f20612d86d83b63e8ca9b739e03ea4226cd032cde0f,2026-07-21T01:18:02+00:00
455,EPU,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2022,200,True,19,10308,0f250cb160d4adec31747943283edce70e6d5736f58944a9a8ca632a58215b8a,2026-07-21T01:18:03+00:00
455,EPU,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2023,200,True,19,10292,6796e7bb3d0a429623112108e23ee98c6c292282cc987e5e9c0f3196353cdf7a,2026-07-21T01:18:05+00:00
455,EPU,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2024,200,True,19,10347,22c9150ac8be1bb32c7833817c601196b2e1293f4e9e30a3a5e0225496dcdd38,2026-07-21T01:18:07+00:00
455,EPU,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=455&method_id=1&year=2025,200,True,32,17530,8e5053fe05d667ddb30deb3d6c25a4dfded6db1700e2d87223536b53149d051a,(cached)
346,HUS,2019,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2019,200,True,29,15026,37def9314d940d41f05503736f4456a41d5d4466e30b9f3d530ac396ea9946da,2026-07-21T01:18:09+00:00
346,HUS,2020,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2020,200,True,32,16742,02165cf4111235ace76c99f9bfa9c07000c4e952e52d1207bc6954cf3fef4c41,2026-07-21T01:18:11+00:00
346,HUS,2021,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2021,200,True,27,14032,7f197b50d7803c1c3db6b38c38dc6c757d16afa751229256d427995942a49e03,2026-07-21T01:18:13+00:00
346,HUS,2022,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2022,200,True,27,14032,bea61192ff0ba6f7afc37418b5ea2f2b09fc053ffe0799a855e5ad818ff23bdb,2026-07-21T01:18:15+00:00
346,HUS,2023,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2023,200,True,28,14566,cc3f62fd027f5834c21601706629bdb3a1b99e7d9f8d808cd6e339ce93b6c54d,2026-07-21T01:18:16+00:00
346,HUS,2024,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2024,200,True,27,14263,741432bb5ccbbe6c88abca930b9596768ba08a85c86da4f6f40eeb24bae7f4d7,2026-07-21T01:18:18+00:00
346,HUS,2025,1,diem-thi-thpt,https://diemthi.tuyensinh247.com/api/common/cutoff-score?school_id=346&method_id=1&year=2025,200,True,28,16438,c7be7603afbdbab82d85e0958ab17bbd387162f64ba662587f9da0ad604084bb,(cached)
